ubigeo,dominio,trabaja,p506,tamanoemp,horas,ingreso,sexo,edad,edociv,educ,informal,anio,id,anoseduc,exp,exp2,sector
150108,8,1,2691,1,25,905,1,21,1,6,1,2023,23710,11,10,100,3
150108,8,1,4520,3,32,3575,1,30,1,10,0,2023,23711,17,13,169,3
150108,8,1,7413,4,40,2260,0,40,2,10,0,2023,23716,17,23,529,3
150108,8,1,1513,4,44,3100,1,40,2,8,0,2023,23717,15,25,625,3
150133,8,1,5020,1,60,2035,0,40,3,6,1,2023,23722,11,29,841,1
150133,8,1,5020,1,78,1130,1,20,1,9,1,2023,23723,16,4,16,1
150133,8,0,5139,4,0,2635,1,40,1,9,0,2023,23725,16,24,576,3
150133,8,1,5233,5,66,975,0,23,1,9,0,2023,23727,16,7,49,3
150133,8,1,5520,1,66,800,0,18,1,6,1,2023,23728,11,7,49,3
150133,8,1,2919,2,40,3950,1,45,2,10,0,2023,23729,17,28,784,3
150133,8,1,5234,1,48,1500,0,27,5,6,1,2023,23733,11,16,256,3
150142,8,1,5122,1,60,1200,1,49,2,3,1,2023,23737,3,46,2116,3
150142,8,1,5211,5,48,295,0,21,1,7,0,2023,23739,13,8,64,3
150142,8,1,5122,1,44,200,1,35,1,6,1,2023,23741,11,24,576,3
150142,8,1,5020,1,51,905,1,57,2,1,1,2023,23745,0,57,3249,1
150142,8,1,8010,1,40,900,0,49,6,6,1,2023,23749,11,38,1444,14
150119,8,1,9500,1,12,70,0,51,1,6,1,2023,23751,11,40,1600,8
150119,8,0,5520,1,20,40,0,20,1,6,1,2023,23752,11,9,81,3
150119,8,1,1511,3,49,895,1,40,6,6,0,2023,23753,11,29,841,3
150119,8,1,8511,5,72,2436,0,38,2,9,0,2023,23760,16,22,484,3
150119,8,1,1320,5,84,3400,1,38,2,9,0,2023,23761,16,22,484,3
150119,8,1,8511,5,36,1800,0,56,2,8,0,2023,23764,15,41,1681,3
150119,8,1,9249,2,50,250,1,25,1,9,1,2023,23765,16,9,81,3
150119,8,1,5520,1,37,180,0,22,1,10,1,2023,23766,17,5,25,3
150118,8,1,5220,1,48,480,1,58,6,9,1,2023,26614,16,42,1764,3
150118,8,1,5220,1,72,480,1,32,1,6,1,2023,26617,11,21,441,3
150133,8,0,5520,1,8,30,0,21,1,5,1,2023,26630,9,12,144,3
150133,8,1,6411,5,48,1100,0,60,5,10,0,2023,26633,17,43,1849,3
150133,8,1,8511,5,36,2500,1,30,1,10,0,2023,26634,17,13,169,3
150142,8,1,2109,3,72,840,0,45,6,6,0,2023,26635,11,34,1156,2
150142,8,1,4520,1,66,495,1,43,6,6,1,2023,26636,11,32,1024,3
150142,8,1,2102,4,48,1035,0,43,2,6,0,2023,26640,11,32,1024,1
150142,8,1,1511,2,72,1215,0,45,2,7,0,2023,26645,13,32,1024,3
150142,8,1,2695,4,72,1375,1,50,2,6,0,2023,26646,11,39,1521,3
150103,8,1,9500,1,72,800,0,47,1,4,1,2023,68171,6,41,1681,8
150103,8,1,5231,1,46,3105,0,32,1,10,0,2023,68177,17,15,225,3
150103,8,1,9500,1,20,200,0,51,1,7,1,2023,68178,13,38,1444,8
150103,8,1,4520,1,46,1090,1,23,1,10,1,2023,68179,17,6,36,3
150121,8,1,8030,5,21,1880,0,52,2,11,0,2023,68184,19,33,1089,1
150121,8,1,7414,5,48,4000,1,49,2,10,1,2023,68185,17,32,1024,3
150121,8,0,6110,5,0,18400,1,48,2,10,1,2023,68188,17,31,961,3
150121,8,1,8511,5,96,3380,1,36,1,10,0,2023,68193,17,19,361,3
150121,8,1,9214,1,30,650,1,66,1,10,0,2023,68195,17,49,2401,3
150121,8,1,8511,5,36,3750,1,40,2,10,0,2023,68196,17,23,529,3
150121,8,1,8511,5,36,3760,0,35,2,10,0,2023,68197,17,18,324,3
150121,8,1,8511,2,21,1180,1,45,2,10,0,2023,68199,17,28,784,3
150121,8,1,8519,1,30,2000,0,42,2,10,1,2023,68200,17,25,625,3
150120,8,1,2221,1,34,1500,1,48,3,6,1,2023,68201,11,37,1369,3
150120,8,1,5520,3,24,360,1,21,1,7,0,2023,68202,13,8,64,3
150120,8,1,9500,1,60,1800,0,42,5,8,1,2023,68204,15,27,729,8
150120,8,1,6511,5,40,4000,1,59,2,10,0,2023,68207,17,42,1764,3
150120,8,1,7499,1,40,1200,1,24,1,10,1,2023,68209,17,7,49,13
150116,8,1,7512,5,40,4620,1,49,2,11,0,2023,68210,19,30,900,3
150116,8,1,5020,1,48,340,1,35,1,6,1,2023,68214,11,24,576,1
150116,8,1,4520,5,45,8910,1,53,2,10,0,2023,68215,17,36,1296,3
150116,8,1,8010,4,40,4030,0,54,2,11,0,2023,68216,19,35,1225,14
150116,8,1,9500,1,70,950,0,56,1,5,1,2023,68220,9,47,2209,8
150116,8,1,4100,5,40,6160,0,50,2,11,0,2023,68222,19,31,961,6
150116,8,1,5239,1,30,395,1,48,1,9,1,2023,68225,16,32,1024,3
150131,8,1,8511,2,30,2680,0,42,1,10,0,2023,68229,17,25,625,3
150122,8,1,9199,1,25,2500,0,67,4,8,1,2023,68230,15,52,2704,3
150122,8,1,6021,2,40,6250,1,33,6,10,0,2023,68231,17,16,256,1
150122,8,1,5122,1,14,905,1,53,2,11,1,2023,68233,19,34,1156,3
150122,8,1,7511,5,40,3160,0,68,2,8,0,2023,68237,15,53,2809,3
150140,8,1,9500,1,60,1025,0,62,1,3,1,2023,68242,3,59,3481,8
150140,8,1,5149,3,48,6340,1,78,2,11,1,2023,68243,19,59,3481,3
150140,8,1,6601,2,42,3000,0,45,2,8,1,2023,68246,15,30,900,10
150140,8,1,7511,5,48,7120,1,37,2,11,0,2023,68248,19,18,324,3
150140,8,1,7499,1,36,3160,0,37,2,10,1,2023,68249,17,20,400,13
150140,8,1,4520,2,48,6000,0,45,2,10,0,2023,68251,17,28,784,3
150140,8,1,7492,4,48,4345,1,47,2,6,0,2023,68254,11,36,1296,13
150114,8,1,6519,5,40,3045,0,57,2,10,0,2023,68274,17,40,1600,3
150114,8,1,6519,5,40,3050,0,27,1,10,0,2023,68276,17,10,100,3
150114,8,1,1549,5,40,3030,0,27,1,10,0,2023,68282,17,10,100,3
150106,8,1,8090,1,24,1740,1,42,6,9,0,2023,68286,16,26,676,2
150106,8,1,5020,1,48,1310,1,39,6,8,0,2023,68289,15,24,576,1
150106,8,1,4530,3,54,1280,1,25,2,6,0,2023,68293,11,14,196,3
150106,8,1,8010,5,30,1054,0,58,1,10,0,2023,68298,17,41,1681,14
150106,8,1,2710,3,47,888,1,67,2,6,0,2023,68305,11,56,3136,3
150106,8,1,8010,2,32,1218,1,32,1,10,0,2023,68307,17,15,225,14
150135,8,1,7513,5,24,1646,1,30,1,9,0,2023,68310,16,14,196,3
150135,8,1,8511,5,36,5390,0,46,5,10,0,2023,68311,17,29,841,3
150135,8,1,4540,1,50,170,1,60,2,6,1,2023,68313,11,49,2401,7
150135,8,1,5219,5,48,1400,1,38,2,8,0,2023,68316,15,23,529,3
150135,8,1,7511,5,60,5920,1,34,2,10,0,2023,68323,17,17,289,3
150135,8,1,5030,1,48,1160,0,35,2,9,0,2023,68327,16,19,361,1
150135,8,1,9500,1,40,500,0,62,6,6,1,2023,68330,11,51,2601,8
150135,8,1,7412,1,40,1670,1,28,1,10,0,2023,68331,17,11,121,3
150117,8,1,7499,2,40,2175,1,50,2,8,0,2023,68332,15,35,1225,13
150117,8,1,8511,5,72,1750,0,42,2,10,0,2023,68333,17,25,625,3
150117,8,1,6519,1,45,1025,0,24,1,10,1,2023,68336,17,7,49,3
150117,8,1,5231,1,48,1125,0,40,5,8,1,2023,68337,15,25,625,3
150117,8,1,7492,4,40,2750,1,47,6,6,0,2023,68339,11,36,1296,13
150117,8,1,7492,4,48,1100,0,44,6,6,0,2023,68340,11,33,1089,13
150117,8,1,5211,5,23,545,0,21,1,6,0,2023,68341,11,10,100,3
150117,8,1,7492,4,84,1450,0,26,1,6,0,2023,68342,11,15,225,13
150117,8,1,8030,5,70,1500,0,29,1,10,1,2023,68344,17,12,144,1
150117,8,1,5239,1,72,270,0,49,2,6,1,2023,68347,11,38,1444,3
150128,8,1,5510,2,66,1700,1,38,1,10,1,2023,68354,17,21,441,8
150128,8,1,8021,5,40,1280,1,76,4,10,1,2023,68355,17,59,3481,1
150128,8,1,6303,4,48,1025,1,68,5,10,1,2023,68356,17,51,2601,1
150128,8,1,6303,5,48,875,0,38,1,8,0,2023,68357,15,23,529,1
150128,8,1,7511,5,40,1000,1,36,5,9,1,2023,68358,16,20,400,3
150132,8,1,8511,5,40,4000,0,61,6,10,1,2023,68361,17,44,1936,3
150132,8,1,5239,2,42,1085,0,41,6,5,0,2023,68366,9,32,1024,3
150132,8,1,2424,3,35,2475,0,51,1,8,0,2023,68370,15,36,1296,3
150111,8,1,9214,1,5,300,0,25,6,7,1,2023,68382,13,12,144,3
150111,8,1,1810,1,64,450,1,57,5,4,1,2023,68384,6,51,2601,3
150111,8,1,6023,4,98,3279,1,37,2,6,0,2023,68386,11,26,676,1
150111,8,1,1810,1,48,300,1,51,2,4,1,2023,68388,6,45,2025,3
150111,8,1,7492,2,48,1305,1,31,1,9,0,2023,68394,16,15,225,13
150105,8,1,7522,5,35,4545,1,48,2,11,0,2023,68402,19,29,841,3
150105,8,1,8511,1,35,912,0,40,2,8,0,2023,68403,15,25,625,3
150105,8,1,4520,3,70,8625,1,53,2,10,1,2023,68405,17,36,1296,3
150105,8,1,7511,5,40,3000,1,24,6,8,1,2023,68409,15,9,81,3
150105,8,0,8512,1,2,1044,1,28,1,10,0,2023,68410,17,11,121,3
150105,8,1,8021,5,40,3904,1,51,2,11,0,2023,68414,19,32,1024,1
150105,8,1,7512,5,60,3950,0,55,2,11,0,2023,68415,19,36,1296,3
150141,8,1,8030,5,48,1400,1,48,2,6,0,2023,68416,11,37,1369,1
150141,8,1,5139,1,48,965,1,39,1,6,0,2023,68419,11,28,784,3
150141,8,1,5520,1,48,350,0,46,5,6,1,2023,68421,11,35,1225,3
150141,8,1,5520,1,13,60,0,21,1,7,1,2023,68422,13,8,64,3
150141,8,1,7493,5,48,489,1,61,1,6,0,2023,68426,11,50,2500,13
150141,8,1,2221,1,58,960,1,59,1,6,1,2023,68427,11,48,2304,3
150141,8,1,8010,1,25,890,0,65,2,6,0,2023,68429,11,54,2916,14
150108,8,1,4520,1,72,645,1,62,1,10,1,2023,68438,17,45,2025,3
150108,8,1,6420,3,60,1131,0,28,1,7,0,2023,68440,13,15,225,3
150108,8,1,8021,5,40,2790,1,58,4,10,0,2023,68442,17,41,1681,1
